Area,Indicator,Source,Year,Value,obs_status.label
Cabo Verde,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Multi-Objective Survey Employment and Labor Market Statistics,2015-01-01,42.3,Unreliable
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2022-01-01,46.0,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2021-01-01,40.2,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2020-01-01,59.4,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2019-01-01,40.5,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2018-01-01,37.1,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous Employment Survey,2017-01-01,41.0,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - National Household Survey,2016-01-01,34.6,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - National Household Survey,2015-01-01,28.7,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - National Household Survey,2014-01-01,31.9,Unknown
Costa Rica,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - National Household Survey,2013-01-01,36.8,Unknown
Curaçao,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,51.0,Unknown
Curaçao,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,42.4,Unknown
Cayman Islands,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,42.4,Unknown
Cayman Islands,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,38.1,Unknown
Cayman Islands,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,39.0,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,23.1,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,21.0,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,24.2,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,21.3,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,17.0,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,20.7,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,25.7,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,22.8,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,17.3,Unknown
Cyprus,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,18.9,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2022-01-01,26.0,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2021-01-01,28.4,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2020-01-01,27.8,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2019-01-01,26.8,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2018-01-01,26.4,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2017-01-01,24.5,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2016-01-01,25.3,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2015-01-01,29.2,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2014-01-01,27.6,Unknown
Czechia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2013-01-01,27.0,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2022-01-01,28.9,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021-01-01,29.4,Break in series
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020-01-01,28.9,Break in series
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,29.4,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,29.4,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,29.2,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,29.3,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,29.3,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,29.0,Unknown
Germany,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,28.9,Unknown
Djibouti,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Djiboutian Household Survey,2017-01-01,12.3,Break in series
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2022-01-01,29.3,Unknown
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021-01-01,28.3,Break in series
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020-01-01,27.9,Unknown
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,26.8,Unknown
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,26.1,Unknown
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,26.3,Break in series
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,27.5,Break in series
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,26.3,Unknown
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,26.0,Unknown
Denmark,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,26.7,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2022-01-01,45.0,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2021-01-01,42.8,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2020-01-01,38.1,Break in series
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2019-01-01,40.5,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2018-01-01,41.1,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2017-01-01,41.4,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2016-01-01,36.7,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Continuous National Labour Force Survey,2015-01-01,36.6,Break in series
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Labour Force Survey,2014-01-01,35.3,Unknown
Dominican Republic,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Labour Force Survey,2013-01-01,36.9,Unknown
Algeria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Employment Survey,2017-01-01,8.4,Unknown
Algeria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Employment Survey,2014-01-01,9.9,Unknown
Algeria,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Household Employment Survey,2013-01-01,10.6,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2022-01-01,38.8,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2021-01-01,37.7,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2020-01-01,39.0,Break in series
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2019-01-01,36.6,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2018-01-01,35.9,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2017-01-01,34.9,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2016-01-01,35.4,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2015-01-01,33.1,Unknown
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2014-01-01,34.7,Break in series
Ecuador,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - National Survey on Employment, Unemployment and Underemployment",2013-01-01,34.6,Unknown
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2021-01-01,12.4,Unknown
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2020-01-01,6.8,Unknown
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2019-01-01,7.1,Unknown
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2018-01-01,7.4,Unknown
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2017-01-01,6.4,Unknown
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2016-01-01,7.1,Break in series
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2015-01-01,6.4,Unknown
Egypt,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Sample Survey,2013-01-01,7.1,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2022-01-01,34.7,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021-01-01,33.3,Break in series
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020-01-01,35.0,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,33.2,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,32.1,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,30.6,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,31.2,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,31.4,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,30.9,Unknown
Spain,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,30.8,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,40.2,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,41.2,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,37.4,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,37.2,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,36.1,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,38.5,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,36.2,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,30.7,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,32.6,Unknown
Estonia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,33.4,Unknown
Ethiopia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Labor Force Survey,2021-01-01,25.4,Unknown
Ethiopia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Labor Force Survey,2013-01-01,26.5,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2022-01-01,36.3,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021-01-01,36.5,Break in series
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020-01-01,37.5,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,36.9,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,31.8,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,31.3,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,34.1,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,33.3,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,33.7,Unknown
Finland,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,29.6,Unknown
Fiji,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Employment, Unemployment Survey",2016-01-01,38.9,Unknown
Fiji,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),"LFS - Employment, Unemployment Survey",2014-01-01,30.4,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2022-01-01,39.9,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2021-01-01,37.8,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2020-01-01,35.5,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2019-01-01,34.7,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2018-01-01,34.4,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2017-01-01,33.4,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2016-01-01,32.9,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2015-01-01,31.7,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2014-01-01,32.7,Unknown
France,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Employment Survey,2013-01-01,36.0,Unknown
"Micronesia, Federated States of",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Household Income and Expenditure Survey,2014-01-01,20.3,Unknown
United Kingdom,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,36.8,Unknown
United Kingdom,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,36.3,Unknown
United Kingdom,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,36.1,Unknown
United Kingdom,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,36.0,Unknown
United Kingdom,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,35.4,Unknown
United Kingdom,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,35.3,Unknown
United Kingdom,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,33.9,Unknown
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,36.1,Break in series
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,36.7,Unknown
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,35.7,Unknown
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,32.0,Unknown
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Integrated Household Survey,2016-01-01,44.2,Unknown
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Integrated Household Survey,2015-01-01,38.8,Unknown
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Integrated Household Survey,2014-01-01,33.8,Unknown
Georgia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Integrated Household Survey,2013-01-01,32.8,Unknown
Ghana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,41.8,Break in series
Ghana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Living Standards Survey,2017-01-01,33.7,Break in series
Ghana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HIES - Living Standards Survey,2013-01-01,40.8,Break in series
Guinea,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - National Survey on Employment and the Informal Sector,2019-01-01,23.4,Unreliable
Gambia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2023-01-01,30.6,Unknown
Gambia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,19.6,Unreliable
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,31.3,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,29.6,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,29.3,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,28.4,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,27.2,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,29.5,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,24.9,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,25.2,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2014-01-01,28.1,Unknown
Greece,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2013-01-01,28.3,Unknown
Grenada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,36.0,Unknown
Grenada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,37.1,Unknown
Grenada,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,36.8,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2022-01-01,35.3,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2021-01-01,45.9,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2019-01-01,36.8,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2018-01-01,34.1,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2017-01-01,29.7,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2016-01-01,44.6,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2015-01-01,31.8,Unknown
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2014-01-01,34.5,Break in series
Guatemala,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Monthly Employment and Income Survey,2013-01-01,35.0,Break in series
Guyana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,46.8,Unknown
Guyana,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,40.5,Break in series
"Hong Kong, China",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - General Household Survey,2022-01-01,38.3,Unknown
"Hong Kong, China",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - General Household Survey,2021-01-01,38.4,Unknown
"Hong Kong, China",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - General Household Survey,2020-01-01,37.0,Unknown
"Hong Kong, China",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - General Household Survey,2019-01-01,35.4,Unknown
"Hong Kong, China",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - General Household Survey,2018-01-01,34.6,Unknown
"Hong Kong, China",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - General Household Survey,2017-01-01,35.5,Unknown
"Hong Kong, China",SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - General Household Survey,2016-01-01,32.8,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2022-01-01,29.7,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2021-01-01,47.7,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2020-01-01,40.1,Break in series
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2019-01-01,50.9,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2018-01-01,51.4,Break in series
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2017-01-01,48.4,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2016-01-01,47.0,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2015-01-01,49.1,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2014-01-01,59.9,Unknown
Honduras,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),HS - Continous Multi-Purpose Household Survey,2013-01-01,61.3,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2022-01-01,21.6,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2021-01-01,28.9,Break in series
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2020-01-01,28.4,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2019-01-01,26.4,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2018-01-01,30.0,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2017-01-01,29.1,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2016-01-01,29.9,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2015-01-01,26.7,Unknown
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2014-01-01,23.2,Break in series
Croatia,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - EU Labour Force Survey,2013-01-01,24.4,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2022-01-01,37.5,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2021-01-01,36.6,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2020-01-01,39.2,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2019-01-01,38.9,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2018-01-01,38.6,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2017-01-01,39.4,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2016-01-01,39.4,Unknown
Hungary,SDG indicator 5.5.2 - Proportion of women in managerial positions (%),LFS - Labour Force Survey,2015-01-01,40.5,Unknown
